trial_id,genome_length,win_rate,num_games,num_solved,avg_guesses_solved,median_guesses_solved,avg_target_abs,mean_runtime_sec,total_runtime_sec,score,evo_pop_size,evo_genome_length,evo_generations_per_guess,evo_tournament_size,evo_crossover_rate,evo_mutation_rate,evo_elite_fraction,evo_mid_fraction,evo_min_char_index,fit_wrong_value_penalty,fit_error_tolerance,fit_value_weight,fit_green_bonus,fit_low_gray_bonus,fit_diversity_bonus_per_symbol,fit_diversity_min_symbols,fit_history_incopatibility_penalty,fit_repeat_guess_penalty
64,12,0.35,20,7,7.5,10.0,81130.97362433863,11.85253460499971,237.0506920999942,12.5,503,20,44,6,0.9730090595116692,0.06626421113798453,0.07963488085801,0.4679964191583138,4,25.37482901234567,67.42171209881226,0.6535714819618177,16.032027642934686,4.8611315965237045,1.6932173221011588,3,15.6789123456789,48.99262716959699
72,20,0.7,20,14,5.05,5.0,126452.4902370304,7.0106845200001775,140.21369040000354,54.85,824,20,21,2,0.9586929480523646,0.09809867103196872,0.07970838089988025,0.4772085465236596,4,25.37482901234567,15.277110507008153,1.969266734962749,9.685580810312489,0.9192527741022932,2.530676750877776,5,15.6789123456789,38.43352074033177
78,26,0.75,20,15,3.95,2.0,175097.75,5.032987455000148,100.65974910000295,63.15,436,20,35,6,0.8010998149951971,0.2676982338466673,0.0754940148694412,0.32382602268459115,4,25.37482901234567,96.29388834726903,1.4846650180223926,13.901577153742517,3.6242311385902446,1.4636137575612325,6,15.6789123456789,3.5610093241909793
71,15,0.35,20,7,8.0,10.0,125182.25380952381,9.894817655000043,197.89635310000085,11.0,1278,20,13,3,0.46895199399891563,0.0303113479472987,0.09414700780714119,0.21947296659154236,4,25.37482901234567,10.452503758766184,1.0109508938596758,3.2347902721459674,0.8073966951084097,2.8295732874774857,4,15.6789123456789,26.570616232892093
82,16,0.35,20,7,7.8,10.0,118037.56178479854,3.9684797899999467,79.36959579999893,11.600000000000001,511,20,13,2,0.7574289204110999,0.11284554205600782,0.05428868159306161,0.19246960742567173,4,25.37482901234567,36.153428644834534,1.3875309998804295,4.751542966875334,2.49091644166715,2.7497244515357075,5,15.6789123456789,26.075780724113617
74,15,0.5,20,10,6.95,10.0,64074.0612856614,7.585054455000318,151.70108910000636,29.15,586,20,23,6,0.5201229677509343,0.23923073483874108,0.0508826549537559,0.14520428417752457,4,25.37482901234567,81.45758313605083,0.6386350139445288,15.794548960094803,1.939833188676732,1.8386309572426407,5,15.6789123456789,37.66982456314853
76,18,0.7,20,14,5.35,5.0,84770.79000000001,8.163680449999447,163.27360899998894,53.95,1425,20,12,4,0.876793577614929,0.2880639666457542,0.12121249236658496,0.13003774871559903,4,25.37482901234567,96.29599914041889,1.7130947579014066,3.528791982745927,0.7619376564164309,2.6244691668587135,3,15.6789123456789,14.118170808882835
73,20,0.65,20,13,5.05,4.0,182749.94752581758,9.816186965000089,196.32373930000176,49.85,613,20,41,4,0.42845865999759064,0.10121772940470632,0.08558478611932206,0.48039106603867876,4,25.37482901234567,63.296171941720594,1.235696860736578,14.51004231285603,4.673138728948536,0.21113479599980423,6,15.6789123456789,16.69134858872546
84,21,0.6,20,12,5.65,6.0,146982.54275263954,5.975073949999205,119.5014789999841,43.05,683,20,18,5,0.35865057258632277,0.10572319631888336,0.04767172230379311,0.27409917526619176,4,25.37482901234567,99.85984974810495,0.6597515036801505,11.028734416713032,4.867675665449107,0.33046563722963973,6,15.6789123456789,46.484355969804064
90,30,0.6,20,12,5.15,3.0,53240.86053900791,2.9959734549996937,59.919469099993876,44.55,636,20,11,5,0.654895006035777,0.17326023226609752,0.08568555167261228,0.23262773800868375,4,25.37482901234567,75.85776357654652,1.1199769699302067,8.534710994524342,2.727731048843032,0.09765102471583842,6,15.6789123456789,9.741203566120712
85,25,0.65,20,13,5.15,4.0,48596.43087121212,5.499662059999901,109.99324119999801,49.55,478,20,27,2,0.8459248724990988,0.06461555766806475,0.07311490113262066,0.1932203376445385,4,25.37482901234567,87.6969239398158,1.437631082759881,17.102433128851143,3.6058481842777135,0.9090797842007485,6,15.6789123456789,11.569965804512407
80,18,0.6,20,12,5.35,6.0,180672.7429908453,10.209856485000092,204.19712970000182,43.95,561,20,43,6,0.8090722416378597,0.06770206620648254,0.10401310891417218,0.27274655995310904,4,25.37482901234567,33.98396559371922,1.746436409152825,8.101035152395935,2.0231687764090807,1.3762627757169739,4,15.6789123456789,33.800508091808
89,10,0.35,20,7,7.5,10.0,113829.39682839012,5.049919049999881,100.99838099999761,12.5,466,20,19,2,0.4765869134844387,0.024907508806142092,0.13958598453953885,0.3300602272621436,4,25.37482901234567,71.1381265268339,0.5822748457397375,4.1549858837684654,2.9204931549060076,1.0571093252010828,4,15.6789123456789,2.727359686586836
81,22,0.45,20,9,6.6,10.0,95083.23151493931,10.42476220999979,208.4952441999958,25.200000000000003,778,20,26,3,0.5087728793057437,0.038705524825989705,0.012983572694238651,0.1560822480234687,4,25.37482901234567,69.45367508480456,0.6133659210960738,3.405430220198916,2.317668752142863,0.9305261154520417,6,15.6789123456789,25.062209053596426
62,27,0.55,20,11,5.95,4.0,27133.735436507937,25.363986520000616,507.27973040001234,37.150000000000006,1302,20,42,3,0.9567313179133763,0.26570236681316234,0.0998853270949683,0.22013040279502827,4,25.37482901234567,72.66068894628336,1.6895328407294967,9.228820315839165,3.9208433439700707,2.2227016256991052,4,15.6789123456789,22.847960321039526
79,29,0.55,20,11,5.75,6.0,98071.47342151674,13.406229894999706,268.1245978999941,37.75000000000001,1162,20,26,4,0.886563547506492,0.286545565634257,0.07027603635966166,0.2196843305099419,4,25.37482901234567,58.49172591452005,0.5932277825031893,10.44513360607143,1.8640338914575196,2.892943518484838,6,15.6789123456789,2.706663623947616
87,25,0.6,20,12,5.4,6.0,230335.0203415916,8.884478959999432,177.68957919998866,43.8,493,20,44,5,0.6845033689269504,0.22495030123093837,0.1451923024397169,0.35758430109672046,4,25.37482901234567,31.371631455142882,1.5367748381971513,9.836988407855753,4.635855425520866,0.5761359977233826,4,15.6789123456789,44.69854997165905
