trial_id,genome_length,win_rate,num_games,num_solved,avg_guesses_solved,median_guesses_solved,avg_target_abs,mean_runtime_sec,total_runtime_sec,score,evo_pop_size,evo_genome_length,evo_generations_per_guess,evo_tournament_size,evo_crossover_rate,evo_mutation_rate,evo_elite_fraction,evo_mid_fraction,fit_error_tolerance,fit_value_weight,fit_green_bonus,fit_low_gray_bonus,fit_diversity_bonus_per_symbol,fit_diversity_min_symbols
3,29,0.0,20,0,7,7.0,139876.3808200527,1.9944543500000051,39.8890870000001,-21.0,311,20,10,6,0.4021355003117065,0.04969992495060766,0.11880728734421374,0.45904111826137783,72.3437129625735,0.6575615603761096,18.314527943496703,1.3034506675837352,0.6947883948888197,4
9,24,0.2,20,4,1.0,1.0,35404.335269016636,3.108147565000003,62.16295130000006,17.0,334,20,19,2,0.8996936052362723,0.1415057903361613,0.14504804123263476,0.34032031549413033,35.92233350328573,1.9197799306647507,14.840676682685583,4.755717006767535,0.2229507537853742,4
0,24,0.2,20,4,2.0,1.0,135105.55729166666,4.894834395000002,97.89668790000005,14.0,726,20,13,3,0.9986040726492297,0.15360669354724935,0.06492954332606403,0.2636012948129146,95.42556419530523,1.6829454717974588,8.334806586521882,1.523672247614447,0.3686554924016838,4
1,24,0.25,20,5,1.0,1.0,163525.35375,5.204517119999998,104.09034239999997,22.0,471,20,26,2,0.9162845814100163,0.13257658851524376,0.10165696099273319,0.39024127291618904,96.2510891853999,1.0226102468852583,9.660970428086545,4.53206739118218,2.9242720827783577,5
13,26,0.35,20,7,2.0,1.0,105009.23333333335,6.435869439999999,128.71738879999998,29.0,575,20,27,3,0.603563767492491,0.20014610198551666,0.0701375026765918,0.43423148503011977,13.061399684778692,1.6532839601702765,17.806358144050737,3.7469319514292554,2.0364108123268103,5
7,26,0.25,20,5,1.0,1.0,86774.6380952381,6.643330635000001,132.86661270000002,22.0,496,20,30,3,0.835804797981481,0.1829706506284246,0.03146725629685971,0.22551152880292055,88.47023530023145,1.0323366114657682,15.754366664033075,0.4687403092332968,0.8237178790190964,4
12,27,0.3,20,6,1.0,1.0,32994.978687214614,8.467536705000002,169.35073410000004,27.0,901,20,22,5,0.5103087370335069,0.19099732870967426,0.09237920700951403,0.44828597411512816,49.75113120484195,1.0050924902745586,11.935034166448249,4.028169098475613,2.0723209499251745,6
11,13,0.0,20,0,7,7.0,61768.6530952381,8.582467124999997,171.64934249999996,-21.0,385,20,41,5,0.41934492504492216,0.08951854161158773,0.11011935089204068,0.35269049626392035,45.321698173944675,0.9163633565716607,13.22278965517524,4.5559941485567235,1.9646140201398667,5
10,29,0.1,20,2,2.5,4.0,114395.7657051282,8.643146075000002,172.86292150000006,2.5,498,20,34,5,0.6623000492584543,0.0689005121238683,0.12954503745951004,0.29213179263743194,95.70689002415241,1.395897246857161,7.295140398267572,2.793642473760025,1.9232803759296173,4
16,21,0.15,20,3,1.6666666666666667,2.0,92765.1440724677,4.328100379999995,86.5620075999999,10.0,886,20,10,3,0.46453147890248414,0.2888920173811949,0.13865901608126965,0.22978755342870866,98.16997315434162,1.190853570641909,19.812919147142786,4.272936862261229,1.9372151278011176,3
14,16,0.4,20,8,1.25,1.0,80795.07708333334,8.748331755000002,174.96663510000005,36.25,1156,20,20,6,0.5502144664171509,0.2744431106412415,0.04221125773043085,0.27713642733367894,53.75203678904043,0.5470318651472919,4.341416317109511,2.3451518949313757,1.636954240423028,6
2,10,0.3,20,6,1.1666666666666667,1.0,48228.5355,10.751037084999998,215.02074169999997,26.5,815,20,32,5,0.6068373553704269,0.26242470948916974,0.14433182307033648,0.3545957147876492,51.74361913245837,1.3594613631277266,8.648435293148804,4.6298972800286045,1.9475392868062391,4
6,27,0.15,20,3,1.6666666666666667,1.0,6494.084177460232,11.75656078999999,235.13121579999978,10.0,719,20,33,5,0.6113999561017947,0.1761607389514411,0.13273129541764023,0.44160198819087426,62.70607295670989,0.8997104972583881,2.1344932402604457,4.558840503988381,2.4688481248009233,3
22,12,0.4,20,8,1.25,1.0,57237.8554255319,4.996487675000003,99.92975350000006,36.25,455,20,29,2,0.4671096899983628,0.1912859571694785,0.04718256267278539,0.3646910379536762,53.924391398761976,1.1723439939822287,10.58454441093009,3.417414031370364,2.706905788413894,5
4,21,0.3,20,6,1.5,1.0,54882.25694444445,13.873370555,277.4674111,25.5,658,20,49,4,0.8863675685852935,0.06079899276978152,0.09877959865134484,0.17310615065167878,54.142202738630075,1.79032095278725,3.51403054774526,2.817940990252929,0.368560499541425,3
20,14,0.05,20,1,2.0,2.0,59526.23014272639,5.718213415000003,114.36426830000005,-1.0,700,20,14,6,0.7391445257633944,0.20284140325708883,0.03492439250611168,0.3982162665896084,28.488882068218732,1.5585635198490733,8.95852348228357,3.855274990992222,2.840109529479151,3
5,19,0.1,20,2,2.0,2.0,143083.52055555553,14.544895344999997,290.89790689999995,4.0,953,20,29,4,0.7006914944199195,0.19518973026810255,0.11326660911304703,0.33681797222864496,53.954849346697976,0.5203467281267458,4.706779076806403,2.4682090444875584,2.3547512414520444,6
18,27,0.15,20,3,1.6666666666666667,1.0,117186.23551328504,8.353631280000002,167.07262560000004,10.0,1310,20,13,3,0.9857305883378618,0.09498494815385693,0.08918921312664148,0.46007796129409306,51.41872414206123,0.9951999873013184,13.426542657191936,2.0446486758829088,1.4342884638309448,4
26,21,0.3,20,6,2.0,1.0,85579.78148148148,3.154225940000006,63.084518800000126,24.0,318,20,21,2,0.7801838029382324,0.1213334144884795,0.057817976031894314,0.301766651949144,90.13446907133226,1.0216391805024492,5.007006871490378,4.073772807560998,0.13745320802298644,5
