run_id,game_id,guess_index,generation_index,gen_runtime_s,fitness_mean,fitness_max,fitness_min,fitness_std
run_20251212_220235_unconstrained_grammar,15,3,1,0.4542375000019092,-30.070845545012837,-21.17125921419337,-53.25647794216195,14.473512204857053
run_20251212_220235_unconstrained_grammar,15,3,2,0.4528437999833841,-30.58384171029952,-21.17125921419337,-53.25647794216195,14.882767453550079
run_20251212_220235_unconstrained_grammar,15,3,3,0.4210662000114098,-31.08309816871826,-21.17125921419337,-53.25647794216195,15.302785934884232
run_20251212_220235_unconstrained_grammar,15,3,4,0.4915997000061907,-33.046810268825084,-21.17125921419337,-53.25647794216195,16.024482645911654
run_20251212_220235_unconstrained_grammar,15,3,5,0.5130089999875054,-32.05718101427244,-21.17125921419337,-53.25647794216195,15.6586216762663
run_20251212_220235_unconstrained_grammar,15,3,6,0.5595232000050601,-29.43112500963078,-21.17125921419337,-53.25647794216195,14.369532906373136
run_20251212_220235_unconstrained_grammar,15,3,7,0.46022250002715737,-33.046810268825084,-21.17125921419337,-53.25647794216195,16.024482645911654
run_20251212_220235_unconstrained_grammar,15,3,8,0.4665257000015117,-33.775980265997575,-21.17125921419337,-53.25647794216195,16.030819941444392
run_20251212_220235_unconstrained_grammar,15,3,9,0.4849541000148747,-29.478837232319833,-21.17125921419337,-53.25647794216195,14.678005606994876
run_20251212_220235_unconstrained_grammar,15,3,10,0.49787689998629503,-28.55577300808356,-21.17125921419337,-53.25647794216195,14.006491194538539
run_20251212_220235_unconstrained_grammar,15,3,11,0.4547720000264235,-33.09885996630405,-21.17125921419337,-53.25647794216195,15.982927876414598
run_20251212_220235_unconstrained_grammar,15,3,12,0.4775777999893762,-30.234071597604053,-21.17125921419337,-53.25647794216195,14.788070832094325
run_20251212_220235_unconstrained_grammar,15,3,13,0.43205249999300577,-32.104893236961495,-21.17125921419337,-53.25647794216195,15.623268940968034
run_20251212_220235_unconstrained_grammar,15,3,14,0.4176986000093166,-35.167444385723606,-21.17125921419337,-53.25647794216195,16.258085874893595
run_20251212_220235_unconstrained_grammar,15,3,15,0.41217470000265166,-32.09535079242368,-21.17125921419337,-53.25647794216195,15.490173175542264
run_20251212_220235_unconstrained_grammar,15,3,16,0.45156390001648106,-32.05718101427244,-21.17125921419337,-53.25647794216195,15.6586216762663
