run_id,game_id,guess_index,generation_index,gen_runtime_s,fitness_mean,fitness_max,fitness_min,fitness_std
run_20251212_204829_baseline,0,0,0,0.07321760000195354,-20.905924382658508,4.776116470420933,-22.316352558730635,2.157439037004752
run_20251212_204829_baseline,0,0,1,0.08745970000745729,-20.610504057445578,4.776116470420933,-22.316352558730635,2.6581752354903805
run_20251212_204829_baseline,0,0,2,0.07827469999028835,-20.19089421806183,4.776116470420933,-22.316352558730635,4.0074983846603205
run_20251212_204829_baseline,0,0,3,0.08945640000456478,-19.630188013029073,4.776116470420933,-22.316352558730635,5.404977311963028
run_20251212_204829_baseline,0,0,4,0.08685189999232534,-19.41371309308695,4.776116470420933,-22.316352558730635,5.943569560898249
run_20251212_204829_baseline,0,0,5,0.09389359998749569,-18.781239153258575,4.776116470420933,-22.316352558730635,7.012345788011298
run_20251212_204829_baseline,0,0,6,0.08344320001197048,-17.820453215620002,4.776116470420933,-22.316352558730635,8.330909643191609
run_20251212_204829_baseline,0,0,7,0.07890649999899324,-17.173714370367982,4.776116470420933,-22.316352558730635,9.08641410419971
run_20251212_204829_baseline,0,0,8,0.07893210000474937,-16.37948652336692,4.776116470420933,-22.316352558730635,9.804938216445473
run_20251212_204829_baseline,0,0,9,0.11798560000897851,-16.17344164450651,4.776116470420933,-22.316352558730635,9.964315126735642
run_20251212_204829_baseline,0,0,10,0.07770660000096541,-16.51542984215577,4.776116470420933,-22.316352558730635,9.672932339095624
run_20251212_204829_baseline,0,0,11,0.08130779999191873,-16.76340666228337,4.776116470420933,-22.316352558730635,9.447706029437812
run_20251212_204829_baseline,0,0,12,0.11568960000295192,-16.247498413358763,4.776116470420933,-22.316352558730635,9.892739688981727
run_20251212_204829_baseline,0,0,13,0.08029090000491124,-16.08355062640379,4.776116470420933,-22.316352558730635,10.028725117108884
run_20251212_204829_baseline,0,0,14,0.08299650000117254,-16.476835468923912,4.776116470420933,-22.316352558730635,9.702135896647153
run_20251212_204829_baseline,0,0,15,0.08564149998710491,-16.370603639430644,4.776116470420933,-22.316352558730635,9.769811406627998
run_20251212_204829_baseline,0,0,16,0.08516050000616815,-16.008237857521877,4.776116470420933,-22.316352558730635,10.083364493661202
